date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:56	123849/123849	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202024%2006:21:18%20GMT	https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/index_yt_video.html	(from )
22:31:57	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2003:31:58%20GMT	https://mountainclimbersstar.com/robots.txt		(from )
22:31:58	15406/15406	---M-Z	200	added ('OK')	image/x-icon	date:Fri,%2021%20Oct%202022%2011:10:12%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/favicon.ico	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/favicon.ico	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:31:58	60703/60703	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Jun%202024%2017:15:50%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/animate.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/animate.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:31:59	232948/232948	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202023%2010:47:38%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/bootstrap.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/bootstrap.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:31:59	3351/3351	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2000:22:10%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/owl.carousel.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/owl.carousel.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:31:59	405268/405268	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Mar%202021%2011:53:26%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/all.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/all.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:00	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2000:22:10%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/owl.theme.default.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/owl.theme.default.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:01	9244/9244	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2010:16:34%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/jquery.mb.YTPlayer.min.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/jquery.mb.YTPlayer.min.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:01	37743/37743	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Jun%202024%2014:07:02%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/style.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/style.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:02	7366/7366	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Jun%202024%2014:34:20%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/responsive.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/responsive.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:02	273/273	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20May%202024%2010:04:52%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/custom.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/custom.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:02	2907/2907	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20May%202024%2009:50:06%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/color-switcher.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/color-switcher.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:03	1827/1827	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2018:42:52%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/css/skins/fluorescentRed.css	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/css/skins/fluorescentRed.css	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:03	12830/12830	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2008:42:17%20GMT	https://mountainclimbersstar.com/demo/html/agkn/index.html	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/index.html	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:04	1513/1513	---M--	200	added ('OK')	image/png	date:Thu,%2009%20May%202024%2021:10:10%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/logo/logo-light.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/logo/logo-light.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:05	117656/117656	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2011:51:38%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/01.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/01.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:06	154107/154107	---M--	200	added ('OK')	image/png	date:Wed,%2022%20May%202024%2014:30:04%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/about2.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/about2.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:06	113791/113791	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:39:32%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/03.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/03.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:07	60398/60398	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:39:52%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/04.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/04.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:07	146680/146680	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:39:10%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/02.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/02.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:07	85149/85149	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:40:18%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/05.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/05.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:08	11844/11844	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2013:48:04%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/clients/01.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/clients/01.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:08	13553/13553	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2014:27:24%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/clients/02.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/clients/02.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:09	150725/150725	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2012:40:36%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/06.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/portfolio/06.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:09	7328/7328	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2014:28:22%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/clients/03.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/clients/03.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:09	8291/8291	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2014:29:18%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/clients/04.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/clients/04.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:10	90142/90142	---M--	200	added ('OK')	image/png	date:Mon,%2013%20May%202024%2013:06:24%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/news/02.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/news/02.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
22:32:11	220734/220734	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202024%2018:59:56%20GMT	https://mountainclimbersstar.com/demo/html/agkn/assets/images/news/01.png	C:/Users/jair1/Downloads/MiSitioWeb/Karla%20R.%20CV/mountainclimbersstar.com/demo/html/agkn/assets/images/news/01.png	(from https://mountainclimbersstar.com/demo/html/agkn/index_yt_video.html)
